Billy Ray Cyrus,Achy Breaky Heart,2EoIt9vdgFRNW03u5IvFsQ,1,0.795,0.582,9,-10.156,1,0.0306,0.0711,0,0.12,0.965,121.798,203373,4
Justin Timberlake,Cry Me a River,7Lf7oSEVdzZqTA0kEDSlS5,1,0.624,0.653,8,-6.582,0,0.176,0.575,0,0.104,0.565,73.884,288333,4
Tina Turner,Typical Male,2fjJt3OQ8MPaZ3LMzAWiTA,1,0.762,0.745,1,-7.772,0,0.0407,0.0172,0.0137,0.0612,0.794,106.013,256827,4
Bee Gees,I Started a Joke,0a8pC3ifrxZJ2k6WZNQIyd,1,0.302,0.257,7,-17.593,1,0.0297,0.24,0.0000023,0.0928,0.399,149.347,192600,4
Air Supply,Sweet Dreams,0lQBXClJb9Z0gyzFXyohVB,1,0.339,0.442,2,-8.294,0,0.0317,0.392,0.00000809,0.412,0.199,127.738,317093,4
Willie Nelson,Always on My Mind,2xYQTU2bbg6WVAmpY1eae4,1,0.518,0.261,2,-13.868,1,0.0272,0.755,0.00106,0.144,0.2,73.336,212667,4
Elvis Presley,Hound Dog,64Ny7djQ6rNJspquof2KoX,1,0.357,0.756,0,-8.492,1,0.0621,0.733,0.00505,0.76,0.95,174.797,136027,4
Don Johnson,Heartbeat,01xc0Rvv19F2p2wno0KUF4,1,0.623,0.685,6,-11.515,0,0.0368,0.0201,0.00000638,0.322,0.782,110.045,260333,4
David Hasselhof,Crazy For You,4XuxzMVSZ4Di9DRH5j6XmG,1,0.642,0.967,0,-5.247,1,0.0427,0.174,0,0.213,0.655,124.034,277907,4
David Hasselhof,Jump In My Car,2LNyDuZnyRhgyr4L2TZJFR,1,0.583,0.737,2,-7.635,1,0.0379,0.0448,0.00000122,0.291,0.689,121.982,179307,4
Ricky Martin,Livin' la Vida Loca,0Ph6L4l8dYUuXFmb71Ajnd,1,0.425,0.954,1,-3.756,0,0.0476,0.00411,0,0.0555,0.933,178.043,243160,4
Britney Spears,Toxic,6I9VzXrHxO9rA9A5euc8Ak,1,0.774,0.838,5,-3.914,0,0.114,0.0249,0.025,0.242,0.924,143.04,198800,4
Britney Spears,Oops!...I did It Again,6naxalmIoLFWR0siv8dnQQ,1,0.751,0.834,1,-5.444,0,0.0437,0.3,0.0000177,0.355,0.894,95.053,211160,4
The Black Eyed Peas,My Humps,19JdbdEwQI7bCxefMokZO8,1,0.8,0.688,4,-5.987,1,0.223,0.12,0.00000405,0.111,0.623,123.929,326960,4
Paul Anka,(You're) Having My Baby,5PuAFxKmqG72uKyoo11zpQ,1,0.596,0.589,0,-8.747,1,0.037,0.551,0,0.0897,0.587,75.288,156293,4
Heart,All I want to Do Is Make Love to You,5YjKdeES9QRJ8NmF4Xc8pV,1,0.626,0.746,7,-8.832,1,0.0282,0.16,0,0.0618,0.8,102.896,310893,4
Toni Basil,Girls Night Out,4DbpSUChOZ3kAiQxqk3g7F,1,0.636,0.93,7,-9.263,1,0.0528,0.051,0.614,0.0702,0.793,118.264,257613,4
Europe,The Final Countdown,3MrRksHupTVEQ7YbA0FsZK,1,0.536,0.844,6,-6.918,0,0.058,0.0628,0.00084,0.0608,0.185,117.652,310333,4
4 Non Blondes,What's Up?,0jWgAnTrNZmOGmqgvHhZEm,1,0.561,0.555,11,-9.734,0,0.0287,0.16,0,0.114,0.497,134.369,295493,4
Vanilla Ice,Ice Ice Baby,3XVozq1aeqsJwpXrEZrDJ9,1,0.978,0.787,2,-2.79,1,0.0394,0.0023,0.0000046,0.102,0.597,116.006,254467,4
Mary J Blige,Family Affair,3aw9iWUQ3VrPQltgwvN9Xu,2,0.925,0.56,8,-3.795,0,0.0436,0.138,0.0000119,0.0861,0.966,92.895,265867,4
Tina Turner,Proud Mary,6gJdDnF2TzfA1WPMXuCa3x,2,0.397,0.499,2,-10.972,1,0.0685,0.0766,0.00000155,0.111,0.367,171.067,327400,4
Celine Dion,The Power of Love,5kK1Iru9ogP3Iy1zsANU1n,2,0.546,0.519,8,-9.072,1,0.0291,0.36,0.00046,0.24,0.247,140.054,342400,4
Eric Carmen,Hungry Eyes,1VCo8IjwPT2xtZPWX4esyY,2,0.712,0.549,5,-9.484,1,0.0254,0.011,0,0.118,0.552,109.882,251067,4
Carly Simon,Jesse,2ifpWVChV5iLsHozrX6IHQ,2,0.73,0.61,0,-13.418,1,0.0408,0.24,0,0.0969,0.779,106.512,261000,4
Christopher Cross,All Right,5tE2kEW1Jom3Qc93UPBT79,2,0.711,0.647,6,-5.225,0,0.0353,0.17,0,0.234,0.504,132.752,253653,4
Sheena Easton,Telefone (Long Distance Love Affair),1ubcQSjkMnrwwqGVeDJBIW,2,0.844,0.683,9,-4.292,1,0.0883,0.246,0.00000237,0.109,0.899,138.068,222040,4
Laura Branigan,Gloria,15ob9SMGLWrexuPuyuMjKl,2,0.775,0.866,9,-3.598,1,0.0295,0.135,0.0376,0.152,0.876,131.34,295067,4
Melissa Manchester,You Should Hear How She Talks About You,3mYh6egfMyl0Dek8r9ciK6,2,0.753,0.834,4,-6.516,1,0.115,0.212,0.0000293,0.259,0.852,131.909,256387,4
Michael Sembello,Maniac,3krYebqW8kK4xgG8vtTD3T,2,0.611,0.704,3,-6.708,0,0.049,0.0553,0,0.0694,0.731,156.69,257933,4
Rick Astley,Never Gonna Give You Up,7GhIk7Il098yCjg4BQjzvb,2,0.727,0.939,8,-11.855,1,0.0369,0.135,0.0000435,0.151,0.916,113.33,212827,4
Right Said Fred,I'm Too Sexy,2WElktskrNJEwgpp5Vouxk,2,0.683,0.739,11,-12.831,0,0.0495,0.0000491,0.0122,0.293,0.836,122.113,170467,4
Thompson Twins,Doctor! Doctor!,7ihhy2Y8wzP6MUmbx8LYh1,2,0.694,0.724,5,-8.125,1,0.0282,0.358,0.000381,0.138,0.844,119.313,347507,4
Hanson,MMMBop,0lnxrQAd9ZxbhBBe7d8FO8,2,0.693,0.937,9,-6.298,1,0.0503,0.00565,0.00411,0.0778,0.662,104.844,268653,4
Baha Men,Who Let the Dogs Out,1H5tvpoApNDxvxDexoaAUo,2,0.869,0.887,0,-4.505,1,0.0993,0.0605,0,0.148,0.784,129.221,198400,4
Michael Bolton,When a Man Loves a Woman,3ascnOSOR5MX901ylGuhcl,2,0.476,0.363,1,-10.706,1,0.0296,0.2,0,0.055,0.243,164.555,231067,3
Survivor,Burning Heart,2VN7uPrbryJ7nE2MXX3f9a,2,0.652,0.609,9,-9.684,0,0.028,0.298,0.00000879,0.0573,0.646,98.125,230107,4
The Cranberries,Zombie,2IZZqH4K02UIYg5EohpNHF,2,0.299,0.613,7,-9.012,1,0.0347,0.0163,0.00359,0.368,0.306,166.96,306411,4
Diana Ross,Love Hangover,3gbnQ7TJEx1EI9chRZXVXl,2,0.509,0.75,1,-9.464,1,0.0479,0.335,0.00331,0.0439,0.829,111.522,229373,4
Twisted Sister,I Wanna Rock,70Z9t1qhytWtG4cCmmi7mU,2,0.504,0.911,2,-2.97,1,0.0738,0.00512,0.0123,0.355,0.671,106.244,179760,4
Justin Timberlake,Can't Stop the Feeling,1WkMMavIMc4JZ8cfMmxHkI,3,0.669,0.832,0,-5.72,1,0.0682,0.0106,0,0.0968,0.7,113.035,237547,4
AC/DC,Thunderstruck,57bgtoPSgt236HzfBOd8kj,3,0.501,0.889,4,-5.175,1,0.0364,0.000147,0.0114,0.217,0.257,133.519,292880,4
Adele,When We Were Young,7IWkJwX9C0J7tHurTD7ViL,3,0.381,0.594,3,-5.97,1,0.0486,0.348,0,0.0925,0.273,143.86,290907,4
Bee Gees,Night Fever,3W0zjlmQh190eozBQSBHN9,3,0.747,0.523,1,-15.688,0,0.0295,0.0263,0.00327,0.0752,0.882,109.158,209507,4
Andy Gibb,Shadow Dancing,3unwRUV5qbjMmH3NJtaODy,3,0.742,0.6,7,-9.647,0,0.0319,0.142,0,0.0677,0.954,101.92,276000,4
Andy Gibb,After Dark,67dRQ6zVHv5rA3mSAq4Khq,3,0.74,0.646,4,-11.433,0,0.0298,0.414,0.00000261,0.173,0.961,116.952,260667,4
Neneh Cherry,Buffalo Stance,3XWgwgbWDI56mf1Wl3cLzb,3,0.708,0.627,1,-11.155,1,0.0614,0.0113,0.0000313,0.338,0.764,107.248,342360,4
Celine Dion,My Heart Will Go On,3oEHQmhvFLiE7ZYES0ulzv,3,0.428,0.276,4,-11.729,1,0.0312,0.732,0.00000533,0.117,0.0382,99.195,280000,1
Fleetwood Mac,Seven Wonders,3k2ImghAf2wffEKTMVvIkc,3,0.707,0.625,4,-9.529,1,0.0303,0.0259,0.0000542,0.104,0.634,119.049,222400,4
Carly Simon,Mockingbird,74UWXHeikO5C3ScEREk42E,3,0.716,0.753,3,-12.407,1,0.0368,0.0532,0.000619,0.183,0.952,113.404,254240,4
Asia,Heat of the Moment,2ZBalNGwjqdKJd29O76wBV,3,0.324,0.84,1,-7.31,1,0.0489,0.358,0.000239,0.367,0.576,136.136,227627,4
Sheena Easton,Morning Train (Nine to Five),6CEKntwndUlmWhSRflWA5X,3,0.797,0.511,8,-10.618,1,0.0552,0.686,0,0.122,0.804,121.874,200973,4
Thompson Twins,Hold Me Now,3xkoUGbf11dLvsfIdgfmIp,3,0.871,0.491,7,-13.407,1,0.0392,0.573,0.00862,0.12,0.73,107.92,429173,4
Beastie Boys,Fight For Your Right,5NLuC70kZQv8q34QyQa1DP,3,0.673,0.72,8,-10.411,1,0.0376,0.129,0.0133,0.0813,0.6,133.62,207400,4
Survivor,Eye of the Tiger,2HHtWyy5CgaQbC7XSoOb0e,3,0.815,0.438,0,-14.522,0,0.0346,0.216,0.000466,0.0787,0.552,108.965,243773,4
The Beautiful South,You Keep It All In,57gpjrxXMnqyKIxzMToJ7A,3,0.8,0.473,10,-15.379,1,0.0614,0.23,0.0139,0.131,0.839,147.453,173760,4
Hall and Oates,Man Eater,4xw1S4UaU7cLYtkkDY59SN,3,0.726,0.493,11,-12.236,0,0.0382,0.0137,0.0000428,0.102,0.83,88.709,271360,4
