Artist,Song Title,Spotify Song ID,Polk Rating
Billy Ray Cyrus,Achy Breaky Heart,2EoIt9vdgFRNW03u5IvFsQ,1
Justin Timberlake,Cry Me a River,7Lf7oSEVdzZqTA0kEDSlS5,1
Tina Turner,Typical Male,2fjJt3OQ8MPaZ3LMzAWiTA,1
Bee Gees,I Started a Joke,0a8pC3ifrxZJ2k6WZNQIyd,1
Air Supply,Sweet Dreams,0lQBXClJb9Z0gyzFXyohVB,1
Willie Nelson,Always on My Mind,2xYQTU2bbg6WVAmpY1eae4,1
Elvis Presley,Hound Dog,64Ny7djQ6rNJspquof2KoX,1
Don Johnson,Heartbeat,01xc0Rvv19F2p2wno0KUF4,1
David Hasselhof,Crazy For You,4XuxzMVSZ4Di9DRH5j6XmG,1
David Hasselhof,Jump In My Car,2LNyDuZnyRhgyr4L2TZJFR,1
Ricky Martin,Livin' la Vida Loca,0Ph6L4l8dYUuXFmb71Ajnd,1
Britney Spears,Toxic,6I9VzXrHxO9rA9A5euc8Ak,1
Britney Spears,Oops!...I did It Again,6naxalmIoLFWR0siv8dnQQ,1
The Black Eyed Peas,My Humps,19JdbdEwQI7bCxefMokZO8,1
Paul Anka,(You're) Having My Baby,5PuAFxKmqG72uKyoo11zpQ,1
Heart,All I want to Do Is Make Love to You,5YjKdeES9QRJ8NmF4Xc8pV,1
Toni Basil,Girls Night Out,4DbpSUChOZ3kAiQxqk3g7F,1
Europe,The Final Countdown,3MrRksHupTVEQ7YbA0FsZK,1
4 Non Blondes,What's Up?,0jWgAnTrNZmOGmqgvHhZEm,1
Vanilla Ice,Ice Ice Baby,3XVozq1aeqsJwpXrEZrDJ9,1
Mary J Blige,Family Affair,3aw9iWUQ3VrPQltgwvN9Xu,2
Tina Turner,Proud Mary,6gJdDnF2TzfA1WPMXuCa3x,2
Celine Dion,The Power of Love,5kK1Iru9ogP3Iy1zsANU1n,2
Eric Carmen,Hungry Eyes,1VCo8IjwPT2xtZPWX4esyY,2
Carly Simon,Jesse,2ifpWVChV5iLsHozrX6IHQ,2
Christopher Cross,All Right,5tE2kEW1Jom3Qc93UPBT79,2
Sheena Easton,Telefone (Long Distance Love Affair),1ubcQSjkMnrwwqGVeDJBIW,2
Laura Branigan,Gloria,15ob9SMGLWrexuPuyuMjKl,2
Melissa Manchester,You Should Hear How She Talks About You,3mYh6egfMyl0Dek8r9ciK6,2
Michael Sembello,Maniac,3krYebqW8kK4xgG8vtTD3T,2
Rick Astley,Never Gonna Give You Up,7GhIk7Il098yCjg4BQjzvb,2
Right Said Fred,I'm Too Sexy,2WElktskrNJEwgpp5Vouxk,2
Thompson Twins,Doctor! Doctor!,7ihhy2Y8wzP6MUmbx8LYh1,2
Hanson,MMMBop,0lnxrQAd9ZxbhBBe7d8FO8,2
Baha Men,Who Let the Dogs Out,1H5tvpoApNDxvxDexoaAUo,2
Michael Bolton,When a Man Loves a Woman,3ascnOSOR5MX901ylGuhcl,2
Survivor,Burning Heart,2VN7uPrbryJ7nE2MXX3f9a,2
The Cranberries,Zombie,2IZZqH4K02UIYg5EohpNHF,2
Diana Ross,Love Hangover,3gbnQ7TJEx1EI9chRZXVXl,2
Twisted Sister,I Wanna Rock,70Z9t1qhytWtG4cCmmi7mU,2
Justin Timberlake,Can't Stop the Feeling,1WkMMavIMc4JZ8cfMmxHkI,3
AC/DC,Thunderstruck,57bgtoPSgt236HzfBOd8kj,3
Adele,When We Were Young,7IWkJwX9C0J7tHurTD7ViL,3
Bee Gees,Night Fever,3W0zjlmQh190eozBQSBHN9,3
Andy Gibb,Shadow Dancing,3unwRUV5qbjMmH3NJtaODy,3
Andy Gibb,After Dark,67dRQ6zVHv5rA3mSAq4Khq,3
Neneh Cherry,Buffalo Stance,3XWgwgbWDI56mf1Wl3cLzb,3
Celine Dion,My Heart Will Go On,3oEHQmhvFLiE7ZYES0ulzv,3
Fleetwood Mac,Seven Wonders,3k2ImghAf2wffEKTMVvIkc,3
Carly Simon,Mockingbird,74UWXHeikO5C3ScEREk42E,3
Asia,Heat of the Moment,2ZBalNGwjqdKJd29O76wBV,3
Sheena Easton,Morning Train (Nine to Five),6CEKntwndUlmWhSRflWA5X,3
Thompson Twins,Hold Me Now,3xkoUGbf11dLvsfIdgfmIp,3
Beastie Boys,Fight For Your Right,5NLuC70kZQv8q34QyQa1DP,3
Survivor,Eye of the Tiger,2HHtWyy5CgaQbC7XSoOb0e,3
The Beautiful South,You Keep It All In,57gpjrxXMnqyKIxzMToJ7A,3
Hall and Oates,Man Eater,4xw1S4UaU7cLYtkkDY59SN,3
Boz Scaggs,It's Over,290g7LaS5icnIywogzldul,3
Diana Ross,I'm Coming Out,3SnGymj6ijE2iuUfWxLo1q,3
Lionel Ritchie,My Love,03WKCY9wDhFUx0eWBsPRT5,3
"10,000 Maniacs",Like the Weather,19X5dUlxVWC5jDg3eOysMz,4
Seal,Kiss From a Rose,3YKptz29AsOlm7WAVnztBh,4
Tina Turner,What's Love Got to Do With It,4kOfxxnW1ukZdsNbCKY9br,4
Tina Turner,Better Be Good to Me,6YytY6PPvAEp1MluJ49nP0,4
Bee Gees,Stayin' Alive,4ICKuJDY5F2XdTR4fIMA7W,4
Andy Gibb,An Everlasting Love,30IpEYZRHYmS8yZyMM5aYK,4
Eric Carmen,All By Myself,0AQqrtK1pULuwZUXhwaaDz,4
Fleetwood Mac,Landslide,5ihS6UUlyQAfmp48eSkxuQ,4
Fleetwood Mac,Over My Head,4rBnrnqnI0tcjcNAFO6RZO,4
Carly Simon,Nobody Does It Better,49RUdNvwSiUTC8fBh4KKoC,4
Christopher Cross,Never Be the Same,2vUoP3ppYxD1F5ovbnmM46,4
Air Supply,Lost In Love,6MhK1gPrgtgRedEjSUz18I,4
ZZ Top,Sharp Dressed Man,0f9h8awV1X4jSllHXXYdfX,4
ZZ Top,Gimme All Your Lovin',0OBwxFLu6Yj61s2OagYbgY,4
Hall and Oates,Sara Smile,1qjrYozGqc7upUgfN776lZ,4
Wings,Let 'Em In,2xAacCD0MW3UBFugKVHbJc,4
Commodores,Easy,1JQ6Xm1JrvHfvAqhl5pwaA,4
Hues Corporation,Rock the Boat,0s45sL9DLOcro6VbmagQKl,4
Rolling Stones,Start Me Up,7HKez549fwJQDzx3zLjHKC,4
Bruce Springsteen,Dancing in the Dark,7FwBtcecmlpc1sLySPXeGE,4
Elvis Costello,Alison,1v98rfd0an913AzHvMNG8a,5
Tom Petty,American Girl,7MRyJPksH3G2cXHN8UKYzP,5
AC/DC,Highway to Hell,2zYzyRzz6pRmhPzyfMEC8s,5
AC/DC,You Shook Me All Night Long,6yl8Es1tCYD9WdSkeVLFw4,5
Adele,Someone Like You,4kflIGfjdZJW4ot2ioixTB,5
Bee Gees,How Deep Is Your Love,0UW7iflqJYC9NuKlYeMKXD,5
Andy Gibb,I Just Want to be Your Everything,5EdlwzcgIAYs2HGvOnczPN,5
Gilbert O'Sullivan,Alone Again (Naturally),6vuEG9sZtC4W2zT64f7zLF,5
10cc,I'm Not In Love,1A6Kwtsg3JWKU2KWM2udpM,5
Fleetwood Mac,Rhiannon,05oETzWbd4SI33qK2gbJfR,5
Fleetwood Mac,Gypsy,19Ym5Sg0YyOCa6ao21bdoG,5
Christopher Cross,Sailing,6Hu6dzwlvoyg3zBUC8k4BK,5
Frankie Goes to Hollywood,Relax,5VB2p0S9jlSXEUNT5wckIQ,5
Rickie Lee Jones,Chuck E's In Love,3Z7mFVDy2izZNCvUWGy13Z,5
Wings,Silly Love Songs,3bC0IKk62yB6TDaratb1s2,5
Commodores,Sail On,3DF7KtKAHE4tf8O3PaENGO,5
The Emotions,Best of My Love,6UjlpJhUqOQqv0hrb38IDI,5
Doobie Brothers,What a Fool Believes,2yBVeksU2EtrPJbTu4ZslK,5
Gerry Rafferty,Baker Street,5gOd6zDC8vhlYjqbQdJVWP,5
Tom Petty,The Waiting,4ZA0EXmjnZIYguEMf0Mc88,5
